,Review_text,Sentiment_NLTK_numeric
376,Full Balanced Shuttle Great Experience with FlipkartREAD MORE,1
379,shuttle are very smooth i like itREAD MORE,1
381,350 best shuttle for intermediate players.READ MORE,1
383,Superb qualityREAD MORE,1
388,Nice productREAD MORE,1
389,Best qualityREAD MORE,1
392,Good Quality and more discount. 👌👌READ MORE,1
393,Good product qualityREAD MORE,1
394,"This set of shuttle is very fine and long lastic , sustainable.READ MORE",1
395,Worth to buyREAD MORE,1
396,"Prodct is good, long lasting and powerfull.READ MORE",1
397,Reliable product with best serviceREAD MORE,1
399,Great shuttleREAD MORE,1
400,Well conditionREAD MORE,1
403,Great shuttle best in allREAD MORE,1
405,It's nothing to say hate but it's fantastic....READ MORE,1
409,Valuable product 👍READ MORE,1
413,Best QualityREAD MORE,1
414,Good productREAD MORE,1
415,Nice shuttleREAD MORE,1
419,Durable and pretty smooth while controllingREAD MORE,1
422,Good oneREAD MORE,1
425,Good quality productREAD MORE,1
427,Good 😊READ MORE,1
434,Good productREAD MORE,1
435,Worst product no qulityREAD MORE,0
439,Very nice productsREAD MORE,1
440,As expected. Thank youREAD MORE,1
442,Using this product Mavis 350 for years . But this time very poor quality shuttles received..READ MORE,0
444,Not good no variginalREAD MORE,0
446,The best yonexREAD MORE,1
447,Nice og productREAD MORE,1
449,Bad quality productREAD MORE,0
451,Worst products not buy online shop yonex mavis 350READ MORE,0
453,The shuttles are very nice. Nothing to complain aboutREAD MORE,1
455,There is no debate these are the best in the market but are always out of stockREAD MORE,1
456,It is excellent item. Good performanceREAD MORE,1
457,Very nice n original productREAD MORE,1
458,Very good shuttleREAD MORE,1
460,Good productREAD MORE,1
461,This is really nice as I use this for a long time and particularly from this seller - BPTLREAD MORE,1
463,Original productREAD MORE,1
464,Good priduct qualityREAD MORE,1
465,Good productREAD MORE,1
467,"Very worst product, each shuttle not lasting for a single matchREAD MORE",0
468,Very nice productREAD MORE,1
470,This price segment one of the best shuttle by Yonex I'm used this product last 4year experience best this segment ☺️READ MORE,1
471,"These are fake shuttles, and didn't even last a day, each shuttle was broken in the same manner, the bottom cork kept breaking without even damaging the skirt or without any notable wear and tear caused while playing.READ MORE",0
472,Super productREAD MORE,1
474,received original quality..durability is pretty good.. got original Mavis 350 ..thanksREAD MORE,1
475,Attrocious.  Product was not worth.  Please avoid selling such item to sustain in market.READ MORE,0
476,The product although satisfies it's quality.READ MORE,1
477,Good qualityREAD MORE,1
481,Good onesREAD MORE,1
482,Nice shuttleREAD MORE,1
483,Best produce 100% genuineREAD MORE,1
485,"Mavis 350 shuttlecock is best but the product i received was not original. Maybe this is the fault of the supplier. We could play one or two games (basic, intermediate) using one shuttlecock but with the original shuttlecock we could play a 10 15 match. So be careful when you are buying.READ MORE",1
486,Very good productREAD MORE,1
487,"Worst quality, i never expected this from Flipkart.READ MORE",0
489,Genuine shuttles and hence trusted sellerREAD MORE,1
490,Very geniune product and more durable thanks for flipkartREAD MORE,1
491,Original shuttles ni doubtREAD MORE,1
492,Great dealREAD MORE,1
493,Good productREAD MORE,1
494,Very Good for daily use. If price was around 500. It would have been goodREAD MORE,1
496,Very nice productREAD MORE,1
498,Great comboREAD MORE,1
501,Worst Quality it's not the fault of Yonex but this hera pheri is done by Flipkart facility centre it's fare with costumer it's loss of time and moneyREAD MORE,0
502,"Good Product.  Thanks, flipkart, for fastest deliveryREAD MORE",1
503,The product was with low quality. Waste of moneyREAD MORE,0
504,Super quality and worth for moneyREAD MORE,1
507,Very good quality.READ MORE,1
508,"The shuttles was excellent , many are thinking that the shuttles which we are buying can be develivered as a duplicate ones but they are real.READ MORE",1
510,Good 👍🏻READ MORE,1
514,It is original one and one day delivery within 24hrsREAD MORE,1
515,It will become damaged after two gamesREAD MORE,0
516,Nice but 10game after loose corkREAD MORE,0
527,Nice not goodREAD MORE,1
531,As usual best in marketREAD MORE,1
532,Excellent shuttles for intermediate players in indoorREAD MORE,1
533,Quality of this product become poor when we buying from flipkart...nit recommendedREAD MORE,0
535,Worst qualityREAD MORE,0
537,Worth of CostREAD MORE,1
540,best in marketREAD MORE,1
541,It is very good product it is better than other Yonex suttle in the range of 1100 aproxREAD MORE,1
542,Good qualityREAD MORE,1
544,Nice good QualityREAD MORE,1
545,Good productREAD MORE,1
546,Excellent productREAD MORE,1
547,Good sbuttle's👍🏻READ MORE,1
548,Good but delivery date is lateREAD MORE,1
549,"Product are good only, but we received the stocks ,which is 3-4 month befor manufactured.READ MORE",1
550,Great product. Timely deliveryREAD MORE,1
553,Best qualityREAD MORE,1
554,My daughter is happy n dilivary  boy behavior is very goodREAD MORE,1
555,Very Light Weight compare to offline productsREAD MORE,0
556,Very good qualityREAD MORE,1
558,good productREAD MORE,1
559,Good oneREAD MORE,1
560,"The mavis 350 nylon shuttle quality is poor, it lost its shape within two matches of playREAD MORE",0
561,Fantastic Product and Absolutely amazed by the pricing of this and the speedy delivery within 2 days to my doorstep.😃READ MORE,1
563,Nice product good quality some pics are very slowREAD MORE,1
565,Very nice shuttleREAD MORE,1
569,Ok goodREAD MORE,1
570,Good to playREAD MORE,1
571,Nice productREAD MORE,1
573,Value for money bad productREAD MORE,0
577,Good productREAD MORE,1
579,Good playREAD MORE,1
580,Good qualityREAD MORE,1
581,Good productREAD MORE,1
582,Good qualityREAD MORE,1
583,Very nice must buy..READ MORE,1
585,Good productREAD MORE,1
588,Good productREAD MORE,1
589,Shuttle getting damaged in a single gameREAD MORE,0
591,Superb ❤️❤️👌READ MORE,1
592,Fine for play but costlyREAD MORE,1
594,The bottoms of the corks are having lot of holes and which are easily get damaged after 3 to 4 matchesREAD MORE,0
595,Product is not good qualityREAD MORE,0
596,Fast delivery and price low cost I am very happy to buy this itemREAD MORE,1
598,Nice productREAD MORE,1
599,I got original product. We play between intermediate and advance level. 7 days have passed still we are using the first shuttle from the barrel.  A single shuttle can last for around 10-15 days ( 1hr game daily). I am satisfied with the product and it's durability. We play on a outdoor cement  court.READ MORE,1
601,Very nice productREAD MORE,1
602,Not good not bring money WestREAD MORE,0
603,Very nice goodREAD MORE,1
604,Nice for intermediate levels not suit6for begginersREAD MORE,1
605,AwesomeSuper Fantastic satalREAD MORE,1
607,Awesome productREAD MORE,1
609,"Counterfeit product, not playable after 3 games. Worst qualityREAD MORE",0
612,Worth of moneyREAD MORE,1
613,Super 👍👍👍READ MORE,1
617,Best product👍READ MORE,1
619,Good productREAD MORE,1
626,It is worst I play one day and it is broken.READ MORE,0
627,Very bad quality shuttles. The bottom part comes off in just one game.READ MORE,0
628,"Very very bad quality. The Yonex Mavis 350 shuttle cork is so bad, we have never got a cork before this, we don't even get a game, it is such a bad cork. All 3 corks in a box are pulled together.READ MORE",0
629,Good oneREAD MORE,1
630,Very bad qualityREAD MORE,0
631,Very bad qualityREAD MORE,0
633,Excellence one....READ MORE,1
634,Yonex Mavis 350 is the best shuttles😊 from the other shuttles because the flight of the mavis 350 is very good👍 and i love this product 🤗READ MORE,1
635,Best :)READ MORE,1
637,Very worst. Quality is very bad. Only one two games the head separated. Totally waste of money.READ MORE,0
639,Excellent productREAD MORE,1
640,"It's good Shuttle, You can go for it.READ MORE",1
643,original shuttleREAD MORE,1
645,Good 👍READ MORE,1
647,good dealREAD MORE,1
648,Good productREAD MORE,1
649,Good productREAD MORE,1
650,Quickly damaged the wingsREAD MORE,0
652,Good productREAD MORE,1
654,Shuttle quality is worst. Usually a mavis 350 shuttle will last for 2 days based on our play. But this shuttle lasting for only one day. Worst boxes.READ MORE,0
655,Good qualityREAD MORE,1
656,This is good for beginners.READ MORE,1
657,Nice delivery boy  good behavior thanks flipkartREAD MORE,1
658,Product is new and quality is excellent as usualREAD MORE,1
659,Wonderful 💖💖💖💖 thank you Utpal daREAD MORE,1
660,Nice oneREAD MORE,1
662,Very good product 😊READ MORE,1
663,Nice productREAD MORE,1
665,Nice productREAD MORE,1
669,Very poor qualityREAD MORE,0
670,Worst stock it has broken with in two gamesREAD MORE,0
672,Bad qualityREAD MORE,0
673,Very nice shuttleREAD MORE,1
674,Very poor quality.. Dont buy again..READ MORE,0
675,Very bad 350 Nylon Shuttle.only one match life span.READ MORE,0
677,Best shuttle for outdoor badminton.READ MORE,1
